,question,Summary,answer
779,How to define a circle shape in an Android XML drawable file?,I have some problems finding the documentation of the definitions of shapes in XML for Android. I would like to define a simple circle filled with a solid color in an XML File to include it into my ...,Here you can read about how to create shape drawable: developer.android.com/guide/topics/resources/…
780,All com.android.support libraries must use the exact same version specification,After updating to android studio 2.3 I got this error message. I know it's just a hint as the app run normally but it's really strange. All com.android.support libraries must use the exact same ...,"add this to your projectBuild.Gradle subprojects { project.configurations.all { resolutionStrategy.eachDependency { details -> if (details.requested.group == 'com.android.support' && !details.requested.name.contains('multidex') ) { details.useVersion ""26.+"" } } } }"
781,Error retrieving parent for item: No resource found that matches the given name after upgrading to AppCompat v23,"I've always programmed Android with Eclipse and decided to start migrating to Android Studio. I decided to use the same SDK I already had for Eclipse, then: Started a new project Set minimum SDK 4.0 (...","You can either change it manually in your build.gradle, or you can use the GUI by opening up the project properties and going to the ""dependencies"" tab."
782,How do you install an APK file in the Android emulator?,"I finally managed to obfuscate my Android application, now I want to test it by installing the APK file and running it on the emulator. How can I install an APK file ...",stackoverflow.com/questions/1584617/…
783,What's the best way to limit text length of EditText in Android,What's the best way to limit the text length of an EditText in Android? Is there a way to do this via xml?,I wanted to set the maximum number of characters for my EditText. At first it was not obvious that text length limit was the same thing. (Just a note for another confuse traveller).
784,How do I put a border around an Android textview?,Is it possible to draw a border around a textview?,I posted one dirty solution here: stackoverflow.com/a/45242147/4291937
785,How to prevent a dialog from closing when a button is clicked,"I have a dialog with EditText for input. When I click the ""yes"" button on dialog, it will validate the input and then close the dialog. However, if the input is wrong, I want to remain in the same ...","Hey, better late than never, I was looking for exactly that, thanks, +1 :) This is an elegant way of adding validation to your dialog, especially when you already have a helper wrapping class to deal with alerts"
786,Can I underline text in an Android layout?,How can I define underlined text in an Android layout xml file?,Here i described best practise with example. see this Answer link
787,getColor(int id) deprecated on Android 6.0 Marshmallow (API 23),"The Resources.getColor(int id) method has been deprecated. @ColorInt @Deprecated public int getColor(@ColorRes int id) throws NotFoundException { return getColor(id, null); } What should I do?","Use ContextCompat.getColor(context, R.color.color_name)"
788,Best practice for instantiating a new Android Fragment,I have seen two general practices to instantiate a new Fragment in an application: Fragment newFragment = new MyFragment(); and Fragment newFragment = MyFragment.newInstance(); The second option ...,"When there are parameters, there is no choice, and this is extensively answered here. Still, the question remains for no-argument construction of the fragment."
789,How do I obtain crash-data from my Android application?,"How can I get crash data (stack traces at least) from my Android application? At least when working on my own device being retrieved by cable, but ideally from any instance of my application running ...",Check this out: github.com/tomquist/Android-Error-Reporter
790,decompiling DEX into Java sourcecode,How can one decompile Android DEX (VM bytecode) files into corresponding Java sourcecode?,Have a look here. You will get possible leads from there to move on.
791,How do I get the current GPS location programmatically in Android?,I need to get my current location using GPS programmatically. How can i achieve it?,This means you have to be moving before there is a location update? Why doesn't it show your current location on the first time try after install?
